,Admin2,Province_State,Lat,Long_
0,ABADIA DE GOIAS,GOIAS,-16.7573,-49.4412
1,ABADIA DOS DOURADOS,MINAS GERAIS,-18.4831,-47.3916
2,ABADIANIA,GOIAS,-16.197,-48.7057
3,ABAETE,MINAS GERAIS,-19.1551,-45.4444
4,ABAETETUBA,PARA,-1.72183,-48.8788
5,ABAIARA,CEARA,-7.34588,-39.0416
6,ABAIRA,BAHIA,-13.2488,-41.6619
7,ABARE,BAHIA,-8.72073,-39.1162
8,ABATIA,PARANA,-23.3049,-50.3133
9,ABDON BATISTA,SANTA CATARINA,-27.6126,-51.0233
10,ABEL FIGUEIREDO,PARA,-4.95333,-48.3933
11,ABELARDO LUZ,SANTA CATARINA,-26.5716,-52.3229
12,ABRE CAMPO,MINAS GERAIS,-20.2996,-42.4743
13,ABREU E LIMA,PERNAMBUCO,-7.90072,-34.8984
14,ABREULANDIA,TOCANTINS,-9.62101,-49.1518
15,ACAIACA,MINAS GERAIS,-20.359,-43.1439
16,ACAILANDIA,MARANHAO,-4.94714,-47.5004
17,ACAJUTIBA,BAHIA,-11.6575,-38.0197
18,ACARA,PARA,-1.95383,-48.1985
19,ACARAPE,CEARA,-4.22083,-38.7055
20,ACARAU,CEARA,-2.88769,-40.1183
21,ACARI,RIO GRANDE DO NORTE,-6.4282,-36.6347
22,ACAUA,PIAUI,-8.21954,-41.0831
23,ACEGUA,RIO GRANDE DO SUL,-31.8665,-54.1615
24,ACOPIARA,CEARA,-6.08911,-39.448
25,ACORIZAL,MATO GROSSO,-15.194,-56.3632
26,ACRELANDIA,ACRE,-9.82581,-66.8972
27,ACREUNA,GOIAS,-17.396,-50.3749
28,ACU,RIO GRANDE DO NORTE,-5.58362,-36.914
29,ACUCENA,MINAS GERAIS,-19.0671,-42.5419
30,ADAMANTINA,SAO PAULO,-21.682,-51.0737
31,ADELANDIA,GOIAS,-16.4127,-50.1657
32,ADOLFO,SAO PAULO,-21.2325,-49.6451
33,ADRIANOPOLIS,PARANA,-24.6606,-48.9922
34,ADUSTINA,BAHIA,-10.5437,-38.1113
35,AFOGADOS DA INGAZEIRA,PERNAMBUCO,-7.743119999999999,-37.631
36,AFONSO BEZERRA,RIO GRANDE DO NORTE,-5.492290000000001,-36.5075
37,AFONSO CLAUDIO,ESPIRITO SANTO,-20.0778,-41.1261
38,AFONSO CUNHA,MARANHAO,-4.13631,-43.3275
39,AFRANIO,PERNAMBUCO,-8.51136,-41.0095
40,AFUA,PARA,-0.154874,-50.3861
